Codigo,Producto,Cod Barra,Rubro,Sub Rubro,Proveedor,Marca,Moneda,Costo,Porc. Utilidad
JU02367,DIAMOND PAINTING DIY NEW FABIAN,6901866226815,ACCESORIOS,DIAMOND,,,PESOS,"2,150.00","120,00"
ACC0027,DONA PARA RODETES,907955,ACCESORIOS,ACCESORIO CABELLO,,,PESOS,750.00,"120,00"
ACC7890006,FALSO EXPANSOR 5 MM / 6 MM / 7 MM ACERO QUIRURGICO,908093,ACCESORIOS,PIERCING,,,PESOS,200.00,"120,00"
ACC7890007,FALSO EXPANSOR 5 MM / 6 MM / 7 MM ACERO QUIRURGICO NEGRO,908094,ACCESORIOS,PIERCING,,,PESOS,200.00,"120,00"
190500001748,GEL CON GLITTER LUYAG COD 708,902439,ACCESORIOS,MAQUILLAJE,,,PESOS,"1,800.00","120,00"
190500000370,GEL CON GLITTER LUYAG PEQUEÑO,900947,ACCESORIOS,MAQUILLAJE,,,PESOS,"1,000.00","120,00"
190500003257,GLITTER PINK 21 CS5440,904058,ACCESORIOS,MAQUILLAJE,,,PESOS,"1,600.00","120,00"
300460,GOMITA PARA EL PELO BLISTER X4 (PAR DE MOÑOS),8903144,ACCESORIOS,ACCESORIOS PARA EL CABELLO,,,PESOS,290.00,"120,00"
ACC89757,GOMITA PARA EL PELO MEDIANA LYCRA,8903143,ACCESORIOS,ACCESORIOS PARA EL CABELLO,,,PESOS,95.00,"120,00"
ACC89756,GOMITA PARA EL PELO MINI LYCRA,908112,ACCESORIOS,ACCESORIOS PARA EL CABELLO,,,PESOS,45.00,"120,00"
ACC0051,GOMITAS PARA HACER PULSERAS,907980,ACCESORIOS,GOMITAS,,,PESOS,350.00,"120,00"
1618704,GORRA ADULTO MARCAS 603599,900497,ACCESORIOS,GORRA,,,PESOS,"2,400.00","120,00"
1627643,GORRA BEBE BORDADO 603433 MEGA 330,900503,ACCESORIOS,GORRA,,,PESOS,"2,620.00","120,00"
164205,GORRA CAP DAMA CON BORDADO SKORA 36648,900509,ACCESORIOS,GORRA,,,PESOS,"5,900.00","120,00"
169909,GORRA CAP LISA LA CHAPELLE 34UM4051,900540,ACCESORIOS,GORRA,,,PESOS,"4,100.00","120,00"
169902,GORRA CAP SKORA 36662,900537,ACCESORIOS,GORRA,,,PESOS,"5,100.00","120,00"
1627415,GORRA CAP TRENDY 14826 14826-B,900500,ACCESORIOS,GORRA,,,PESOS,"5,400.00","120,00"
1628974,GORRA CAP TRENDY INFANTIL 14831 14841 14833,900504,ACCESORIOS,GORRA,,,PESOS,"4,300.00","120,00"
1627431,GORRA INFANTIL 603437 MEGA 330,900502,ACCESORIOS,GORRA,,,PESOS,"4,110.00","120,00"
1713813,GORRA TRENDY 14825,900567,ACCESORIOS,INVIERNO,,TRENDY,PESOS,"4,177.00","120,00"
1727424,GORRA TRENDY 14834,900574,ACCESORIOS,INVIERNO,,,PESOS,"3,342.00","120,00"
1713669,GORRA TRENDY NYC 14823,900566,ACCESORIOS,INVIERNO,,TRENDY,PESOS,"3,796.00","120,00"
ACC215487877,GORRO ALPINE SKATE 18803,908018,ACCESORIOS,GORRO,,,PESOS,"3,700.00","120,00"
169907,GORRO AUSTRALIANO HOMBRE SKORA,900538,ACCESORIOS,GORRO,,,PESOS,"4,400.00","120,00"
1613833,GORRO BOYS NASA 1613833,900495,ACCESORIOS,INVIERNO,,NASA,PESOS,"3,750.00","120,00"
169908,GORRO CON PIEL LA CHAPELLE,900539,ACCESORIOS,INVIERNO,,LA CHAPELLE,PESOS,"3,300.00","120,00"
1613812,GORRO EVERLAST 13812,900489,ACCESORIOS,INVIERNO,,EVERLAST,PESOS,"5,000.00","120,00"
ACC21548787,GORRO EVERLAST 13812 13812-C,908017,ACCESORIOS,GORRO,,,PESOS,"4,000.00","120,00"
1613814,GORRO EVERLAST 13814,900490,ACCESORIOS,INVIERNO,,EVERLAST,PESOS,"5,900.00","120,00"
1618706,GORRO EVERLAST NEGRO 18898,900498,ACCESORIOS,INVIERNO,,EVERLAST,PESOS,"4,700.00","120,00"
1613823,GORRO HEAD 13823 NEGRO SIMPLE 13823C,900492,ACCESORIOS,INVIERNO,,HEAD,PESOS,"4,500.00","120,00"
1613825,GORRO HEAD 13825,900493,ACCESORIOS,INVIERNO,,HEAD,PESOS,"6,850.00","120,00"
164006,GORRO INFLUENCER 4006,900505,ACCESORIOS,INVIERNO,,INFLUENCER,PESOS,"5,300.00","120,00"
164008,GORRO INFLUENCER 4008,900506,ACCESORIOS,INVIERNO,,INFLUENCER,PESOS,"5,400.00","120,00"
164009,GORRO INFLUENCER 4009,900507,ACCESORIOS,INVIERNO,,INFLUENCER,PESOS,"5,400.00","120,00"
ACC215454555,GORRO NASA 13835,908011,ACCESORIOS,GORRO,,,PESOS,"3,800.00","120,00"
ACC21548777,GORRO NASA NIÑO INFANTIL 13832-B,908015,ACCESORIOS,GORRO,,,PESOS,"3,700.00","120,00"
164048,GORRO ROCKY UNISEX BASICO,900508,ACCESORIOS,INVIERNO,,ROCKY,PESOS,"1,300.00","120,00"
1610709,GORRO SPIRIT YORKS 10709,900486,ACCESORIOS,INVIERNO,,SPIRIT YORKS,PESOS,"4,650.00","120,00"
1613817,GORRO SPIRIT YORKS 13817,900491,ACCESORIOS,INVIERNO,,SPIRIT YORKS,PESOS,"5,900.00","120,00"
1624262,GORRO TEJIDO DAMA TRENZADO CON PERLAS,900499,ACCESORIOS,INVIERNO,,ROCKY,PESOS,"4,650.00","120,00"
ACC2154877,GORRO TEJIDO SKORA 38644 CHENILLE,908014,ACCESORIOS,GORRO,,,PESOS,"3,000.00","120,00"
1613654,GORRO TRENDY 13654,900487,ACCESORIOS,INVIERNO,,TRENDY,PESOS,"8,800.00","120,00"
1613671,GORRO TRENDY 13671,900488,ACCESORIOS,INVIERNO,,TRENDY,PESOS,"5,900.00","120,00"
1615773,GORRO TRENDY 15773,900496,ACCESORIOS,INVIERNO,,TRENDY,PESOS,"9,100.00","120,00"
1613831,GORRO TRENDY INFANTIL 13831,900494,ACCESORIOS,INVIERNO,,TRENDY,PESOS,"5,900.00","120,00"
ACC215487878,GORRO UNICROSS TEJIDO 62.T6042,908019,ACCESORIOS,GORRO,,,PESOS,"4,500.00","120,00"
ACC2154878,GUANTE ALPINE SKATE AZUL NEGRO 18905,908016,ACCESORIOS,GUANTE,,,PESOS,"2,700.00","120,00"
A1234556,GUANTE INFANTIL LA CHAPELLE 16UM6593,7799145024097,ACCESORIOS,INVIERNO,,,PESOS,"2,800.00","120,00"
134313,GUANTE LISO AROUND ART. 7011 7024,900458,ACCESORIOS,INVIERNO,,AROUND,PESOS,"1,800.00","120,00"
ACC2154555888,GUANTE MAGICO 1071 ZZ-1071,908013,ACCESORIOS,GUANTE,,,PESOS,"1,200.00","120,00"
ACC215488844455,GUANTE MAGICO 1072 ZZ-1072,908020,ACCESORIOS,GUANTE,,,PESOS,"1,200.00","120,00"
ACC215455555,GUANTE NIÑO 1585 ZZ-1585,908012,ACCESORIOS,GUANTE,,,PESOS,"1,100.00","120,00"
134315,GUANTE NIÑO PELUCHE 409824,900459,ACCESORIOS,INVIERNO,,,PESOS,"1,300.00","120,00"
RE256,GUANTE NIÑO RAYADO,9425320163364,ACCESORIOS,GUANTES,,,PESOS,"1,800.00","120,00"
138062,GUANTE POLAR KLUB MODE 33214,900470,ACCESORIOS,INVIERNO,,,PESOS,"3,990.00","120,00"
134320,GUANTE POLAR SPORT 19558 / 19557 / 33214,909673,ACCESORIOS,GUANTE,,,PESOS,"1,490.00","120,00"
21114777,GUANTE SPORT WS-20,900413,ACCESORIOS,GUANTE,,,PESOS,"7,000.00","120,00"
134303,GUANTES CITY GIRL SIN DEDO,900456,ACCESORIOS,INVIERNO,,,PESOS,"1,500.00","120,00"
134304,GUANTES GLOVES SUAVE LISO / RAYAS,909672,ACCESORIOS,GUANTES,,,PESOS,"1,900.00","120,00"
134319,GUANTES GUARDAPAMPA,900461,ACCESORIOS,INVIERNO,,,PESOS,"2,900.00","120,00"
1350615,GUANTES MAGICO UNISEX C8002-1,900464,ACCESORIOS,INVIERNO,,BOSSI,PESOS,850.00,"120,00"
1350600,GUANTES MANOPLA INFANTIL SIN SEPARACION 38062,900463,ACCESORIOS,INVIERNO,,,PESOS,950.00,"120,00"
ACC5454,GUANTES MOTO ECONOMICOS,908058,ACCESORIOS,INVIERNO,,,PESOS,"3,600.00","120,00"
136213,GUANTES MOTO SKORA 27573,900467,ACCESORIOS,INVIERNO,,SKORA,PESOS,"5,600.00","120,00"
136214,GUANTES MOTO UNICROSS 6214,900468,ACCESORIOS,INVIERNO,,UNICROSS,PESOS,"6,200.00","120,00"
484112148,GUANTES NIÑO / BEBE SUAVE PUÑO PELUCHE,8903151,ACCESORIOS,INVIERNO,,,PESOS,"1,050.00","120,00"
138060,GUANTES SKORA 18740 15930,900469,ACCESORIOS,INVIERNO,,SKORA,PESOS,"2,200.00","120,00"
134316,GUANTES TACTIL SKORA 18752,900460,ACCESORIOS,INVIERNO,,AMAYRA,PESOS,"2,590.00","120,00"
1333176,GUANTES TACTIL TOUCH GLOVES,900454,ACCESORIOS,INVIERNO,,,PESOS,"1,061.00","120,00"
1333185,GUANTES TRENDY PUÑO PELUCHE 7760,900455,ACCESORIOS,INVIERNO,,,PESOS,"3,500.00","120,00"
222235,GUANTES WINDS STOPPER X Y WS-19,900423,ACCESORIOS,GUANTES,,,PESOS,"6,000.00","120,00"
479316,GUARDATODO 10 DIV 2187,907795,ACCESORIOS,GUARDATODO,,,PESOS,820.00,"120,00"
479315,GUARDATODO 15 DIV 2186,907794,ACCESORIOS,GUARDATODO,,,PESOS,"1,250.00","120,00"
ACC0030,HORQUILLAS CON PERLAS Y STRASS,907958,ACCESORIOS,HORQUILLAS,,,PESOS,170.00,"120,00"
ACC0029,HORQUILLAS CON STRASS,907957,ACCESORIOS,HORQUILLAS,,,PESOS,160.00,"120,00"
