Codigo,Producto,Cod Barra,Rubro,Sub Rubro,Proveedor,Marca,Moneda,Costo,Porc. Utilidad,Bulto,Caja / Rollo,Unidad / metro / cajita,,
294000085,AGUJA TEJER EL PAR Nº 10,905965,MERCERIA,AGUJA PARA TEJER,MILAN,,PESOS,"1,950.00","120,00",,,,,Único
294000086,AGUJA TEJER EL PAR Nº 12,905966,MERCERIA,AGUJA PARA TEJER,MILAN,,PESOS,"3,150.00","120,00",,,,,Único
294000087,AGUJA TEJER EL PAR Nº 14,905967,MERCERIA,AGUJA PARA TEJER,MILAN,,PESOS,"3,850.00","120,00",,,,,Único
294000088,AGUJA TEJER EL PAR Nº 16,905968,MERCERIA,AGUJA PARA TEJER,MILAN,,PESOS,"4,246.46","120,00",,,,,Único
294000089,AGUJA TEJER EL PAR Nº 18,905969,MERCERIA,AGUJA PARA TEJER,MILAN,,PESOS,"4,328.91","120,00",,,,,Único
294000090,AGUJA TEJER EL PAR Nº 2,905970,MERCERIA,AGUJA PARA TEJER,MILAN,,PESOS,713.00,"120,00",,,,,Único
294000091,"AGUJA TEJER EL PAR Nº 2,5",905971,MERCERIA,AGUJA PARA TEJER,MILAN,,PESOS,780.00,"120,00",,,,,Único
294000092,AGUJA TEJER EL PAR Nº 3,905972,MERCERIA,AGUJA PARA TEJER,MILAN,,PESOS,813.00,"120,00",,,,,Único
294000093,"AGUJA TEJER EL PAR Nº 3,5",905973,MERCERIA,AGUJA PARA TEJER,MILAN,,PESOS,850.00,"120,00",,,,,Único
294000094,AGUJA TEJER EL PAR Nº 4,905974,MERCERIA,AGUJA PARA TEJER,MILAN,,PESOS,900.00,"120,00",,,,,Único
294000095,"AGUJA TEJER EL PAR Nº 4,5",905975,MERCERIA,AGUJA PARA TEJER,MILAN,,PESOS,950.00,"120,00",,,,,Único
294000096,AGUJA TEJER EL PAR Nº 5,905976,MERCERIA,AGUJA PARA TEJER,MILAN,,PESOS,"1,000.00","120,00",,,,,Único
294000097,"AGUJA TEJER EL PAR Nº 5,5",905977,MERCERIA,AGUJA PARA TEJER,MILAN,,PESOS,"1,050.00","120,00",,,,,Único
294000098,AGUJA TEJER EL PAR Nº 6,905978,MERCERIA,AGUJA PARA TEJER,MILAN,,PESOS,"1,200.00","120,00",,,,,Único
294000099,AGUJA TEJER EL PAR Nº 7,905979,MERCERIA,AGUJA PARA TEJER,MILAN,,PESOS,"1,350.00","120,00",,,,,Único
294000100,AGUJA TEJER EL PAR Nº 8,905980,MERCERIA,AGUJA PARA TEJER,MILAN,,PESOS,"1,420.00","120,00",,,,,Único
294000101,AGUJA TEJER EL PAR Nº 9,905981,MERCERIA,AGUJA PARA TEJER,MILAN,,PESOS,"1,570.00","120,00",,,,,Único
ME89500,AGUJA TELAR CHICO X UNIDAD,909293,MERCERIA,AGUJAS,MERCECOR,,PESOS,750.00,"120,00",,,,,Único
294000102,AGUJA TRIFILAR CUERO X1 CBX,905982,MERCERIA,AGUJAS,MILAN,,PESOS,250.00,"120,00",,,,,Único
294000103,AGUJA TUNECINA CBX Nº 2 Y 3  X 1,905983,MERCERIA,AGUJA TUNECINA,MILAN,CBX,PESOS,"1,019.20","120,00",,,,,Único
294000104,"AGUJA TUNECINA CBX Nº 3,5 Y 4 X 1",905984,MERCERIA,AGUJA TUNECINA,MILAN,CBX,PESOS,"1,118.00","120,00",,,,,Único
294000105,"AGUJA TUNECINA CBX Nº 4,5 Y 5 X 1",905985,MERCERIA,AGUJA TUNECINA,MILAN,CBX,PESOS,"1,341.60","120,00",,,,,Único
294000106,"AGUJA TUNECINA CBX Nº 5,5 X 1",905986,MERCERIA,AGUJA TUNECINA,MILAN,CBX,PESOS,"1,497.60","120,00",,,,,Único
294000107,AGUJA TUNECINA CBX Nº 6 X 1,905987,MERCERIA,AGUJA TUNECINA,MILAN,CBX,PESOS,"1,638.00","120,00",,,,,Único
294000108,AGUJA TUNECINA CBX Nº 7 X 1,905988,MERCERIA,AGUJA TUNECINA,MILAN,CBX,PESOS,"1,788.80","120,00",,,,,Único
294000109,AGUJA TUNECINA CBX Nº 8 X 1,905989,MERCERIA,AGUJA TUNECINA,MILAN,CBX,PESOS,"2,085.20","120,00",,,,,Único
294000110,AGUJA VELOZ SET X2,905990,MERCERIA,AGUJAS,MILAN,,PESOS,"3,650.00","120,00",,,,,Único
294000111,AGUJA VOLTEADORA 24 CM CBX X UNIDAD,905991,MERCERIA,AGUJAS,MILAN,CBX,PESOS,"2,568.80","120,00",,,,,Único
MER12555899,ALAMBRE FORRADO 5M 1.2MM BLANCO VERDE,909337,MERCERIA,ALAMBRE FORRADO,MILAN,LUREX,PESOS,"1,835.60","120,00",,,,,Único
294000112,ALAMBRE FORRADO LUREX CORDON DE ORO X50MT,905992,MERCERIA,ALAMBRE FORRADO,MILAN,CORDON DE ORO,PESOS,"9,650.00","120,00",,,,,Único
294000113,ALAMBRE FORRADO LUREX CORDON DE ORO XMT,905993,MERCERIA,ALAMBRE FORRADO,MILAN,CORDON DE ORO,PESOS,193.00,"120,00",,,,,Único
222699998,ALAMBRE PARA BIJOU COLOR X 5M ROLLO,6952938480307,MERCERIA,ALAMBRE,MILAN,,PESOS,890.00,"120,00",,,,,Único
294000114,ALFILER BASE PRENDEDOR Nº 2 X100,905994,MERCERIA,ALFILER BASE PRENDEDOR,MILAN,,PESOS,"2,790.00","120,00",,,,,Único
ME131003,ALFILER BASE PRENDEDOR Nº 2 X1,905994,MERCERIA,ALFILER BASE PRENDEDOR,MILAN,,PESOS,27.90,"120,00",,,,,Único
294000115,ALFILER BASE PRENDEDOR Nº 3 X100,905995,MERCERIA,ALFILER BASE PRENDEDOR,MILAN,,PESOS,"4,653.00","120,00",,,,,Único
ME131004,ALFILER BASE PRENDEDOR Nº 3 X1,905995,MERCERIA,ALFILER BASE PRENDEDOR,MILAN,,PESOS,46.53,"120,00",,,,,Único
