Cod Producto,Producto,Cod Barra,Rubro,Sub Rubro,Proveedor,Marca,Moneda,Costo,Porc. Utilidad,Fecha Ultima Modificacion
250432,PAPEL ILUSTRACION BRILLANTE PS PAPER SHOP A3 200GR X 200 HJS,905829,PAPELERA,PAPEL ILUSTRACION,PAPELERA CUMBRE,PS,PESOS,"24,000.00",60,04/11/2025
250433,PAPEL ILUSTRACION BRILLANTE PS PAPER SHOP A3 200GR X HOJA,905830,PAPELERA,PAPEL ILUSTRACION,PAPELERA CUMBRE,PS,PESOS,137.50,60,04/11/2025
250436,*,905833,PAPELERA,PAPEL ILUSTRACION,PAPELERA CUMBRE,PS,PESOS,"23,100.00",60,04/11/2025
250437,*,905834,PAPELERA,PAPEL ILUSTRACION,PAPELERA CUMBRE,PS,PESOS,205.00,60,04/11/2025
250438,PAPEL ILUSTRACION BRILLANTE PS PAPER SHOP A4 150GR X 250 HJS,905835,PAPELERA,PAPEL ILUSTRACION,PAPELERA CUMBRE,PS,PESOS,"12,000.00",60,04/11/2025
250439,PAPEL ILUSTRACION BRILLANTE PS PAPER SHOP A4 150GR X HOJA,905836,PAPELERA,PAPEL ILUSTRACION,PAPELERA CUMBRE,PS,PESOS,62.50,60,04/11/2025
250430,PAPEL ILUSTRACION BRILLANTE PS PAPER SHOP A4 200GR X 200 HOJAS,905827,PAPELERA,PAPEL ILUSTRACION,PAPELERA CUMBRE,PS,PESOS,"12,750.00",60,04/11/2025
250431,PAPEL ILUSTRACION BRILLANTE PS PAPER SHOP A4 200GR X HOJA,905828,PAPELERA,PAPEL ILUSTRACION,PAPELERA CUMBRE,PS,PESOS,75.00,60,04/11/2025
250434,PAPEL ILUSTRACION BRILLANTE PS PAPER SHOP A4 250GR X 125 HJS,905831,PAPELERA,PAPEL ILUSTRACION,PAPELERA CUMBRE,PS,PESOS,"13,125.00",60,04/11/2025
250435,PAPEL ILUSTRACION BRILLANTE PS PAPER SHOP A4 250GR X HOJA,905832,PAPELERA,PAPEL ILUSTRACION,PAPELERA CUMBRE,PS,PESOS,125.00,60,04/11/2025
25041601,KRAFT 125 GRS. A3 PQ. 50 HJS,905816,PAPELERA,PAPEL KRAFT,MULTIPAPEL,MULTIPAPEL,PESOS,"9,000.00",60,04/11/2025
25041611,KRAFT 125 GRS. A3 X HOJA,905818,PAPELERA,PAPEL KRAFT,MULTIPAPEL,MULTIPAPEL,PESOS,200.00,60,04/11/2025
2504160,KRAFT 125 GRS. A4 PQ. 125 HJS,905815,PAPELERA,PAPEL KRAFT,MULTIPAPEL,MULTIPAPEL,PESOS,"9,000.00",60,04/11/2025
2504161,KRAFT 125 GRS. A4 X HOJA,905817,PAPELERA,PAPEL KRAFT,MULTIPAPEL,MULTIPAPEL,PESOS,95.00,60,04/11/2025
25041621,KRAFT 150 GRS. A3 PQ. 50 HJS,905820,PAPELERA,PAPEL KRAFT,MULTIPAPEL,MULTIPAPEL,PESOS,"11,000.00",60,04/11/2025
25041631,KRAFT 150 GRS. A3 X HOJA,905822,PAPELERA,PAPEL KRAFT,MULTIPAPEL,MULTIPAPEL,PESOS,240.00,60,04/11/2025
2504162,KRAFT 150 GRS. A4 PQ. 125 HJS,905819,PAPELERA,PAPEL KRAFT,MULTIPAPEL,MULTIPAPEL,PESOS,"11,000.00",60,04/11/2025
2504163,KRAFT 150 GRS. A4 X HOJA,905821,PAPELERA,PAPEL KRAFT,MULTIPAPEL,MULTIPAPEL,PESOS,110.00,60,04/11/2025
25041641,KRAFT 200 GRS. A3 PQ. 50 HJS,905824,PAPELERA,PAPEL KRAFT,MULTIPAPEL,MULTIPAPEL,PESOS,"14,000.00",60,04/11/2025
25041651,KRAFT 200 GRS. A3 X HOJA,905826,PAPELERA,PAPEL KRAFT,MULTIPAPEL,MULTIPAPEL,PESOS,300.00,60,04/11/2025
2504164,KRAFT 200 GRS. A4 PQ. 125 HJS,905823,PAPELERA,PAPEL KRAFT,MULTIPAPEL,MULTIPAPEL,PESOS,"15,000.00",60,04/11/2025
2504165,KRAFT 200 GRS. A4 X HOJA,905825,PAPELERA,PAPEL KRAFT,MULTIPAPEL,MULTIPAPEL,PESOS,135.00,60,04/11/2025
PA1235,KRAFT MARRON PAPEL MADERA 120GR 85X120 (GRUESO) (PC),909384,PAPELERA,PAPEL MADERA,PAPELERA CUMBRE,,PESOS,310.00,60,04/11/2025
PA1234,KRAFT MARRON PAPEL MADERA 60GR 85X120 (FINO) (PC),909383,PAPELERA,PAPEL MADERA,PAPELERA CUMBRE,,PESOS,190.00,60,04/11/2025
2504066,MEGACOLOR 48 X 66 CM 120 GR,905723,PAPELERA,PAPEL MEGACOLOR,MULTIPAPEL,,PESOS,"1,500.00",60,04/11/2025
2504067,MEGACOLOR LISA 66 X 96 CM 180 GR,905724,PAPELERA,PAPEL MEGACOLOR,MULTIPAPEL,,PESOS,"3,200.00",60,04/11/2025
2504068,METALIZADO 50 X 70 CM 120 GR,905725,PAPELERA,PAPEL METALIZADO,MULTIPAPEL,,PESOS,"2,800.00",60,04/11/2025
2504140,METALIZADO A4 240 GR X 50 HOJAS,905801,PAPELERA,PAPEL METALIZADO,MULTIPAPEL,,PESOS,"13,000.00",60,04/11/2025
2504139,METALIZADO A4 240 GR X HOJA,905800,PAPELERA,PAPEL METALIZADO,MULTIPAPEL,,PESOS,540.00,60,04/11/2025
2504069,MULTICOLOR A4 80 GRS. PQ. 200 HJS,905726,PAPELERA,PAPEL MULTICOLOR,MULTIPAPEL,,PESOS,"14,000.00",60,04/11/2025
2504070,MULTICOLOR A4 80 X HOJA,905727,PAPELERA,PAPEL MULTICOLOR,MULTIPAPEL,,PESOS,100.00,60,04/11/2025
202222,NYLON BURBUJA X METRO,77917328,PAPELERA,,,,PESOS,340.00,60,04/11/2025
2504071,OBRA AUTOR 215 X 355 MM 75 GR X 500 HJS (MP),905728,PAPELERA,PAPEL OBRA,MULTIPAPEL,AUTOR,PESOS,"9,500.00",60,04/11/2025
2504072,OBRA AUTOR 215 X 355 MM 75 GR X HOJA (MP),905729,PAPELERA,PAPEL OBRA,MULTIPAPEL,AUTOR,PESOS,40.00,60,04/11/2025
2504073,OBRA AUTOR A3 80 GR X 500 HJS (MP),905730,PAPELERA,PAPEL OBRA,MULTIPAPEL,AUTOR,PESOS,"18,000.00",60,04/11/2025
2504074,OBRA AUTOR A3 80 GR X HOJA (MP),905731,PAPELERA,PAPEL OBRA,MULTIPAPEL,AUTOR,PESOS,60.00,60,04/11/2025
2504082,OPALINA TELADA BLANCA & CREMA 215 X 350 MM 240 GR X HOJA,905739,PAPELERA,PAPEL OPALINA,MULTIPAPEL,,PESOS,600.00,60,04/11/2025
2504076,OPALINA TELADA BLANCA A4 & 215 X 350 MM 180 GR X 50 HJS,905733,PAPELERA,PAPEL OBRA,MULTIPAPEL,,PESOS,"22,000.00",60,04/11/2025
2504083,OPALINA TELADA BLANCA A4 & 215 X 350 MM 180 GR X HOJA,905740,PAPELERA,PAPEL OPALINA,MULTIPAPEL,,PESOS,460.00,60,04/11/2025
2504084,OPALINA TELADA: CREMA & BCA. 66 X 96 CM 180 GR,905741,PAPELERA,PAPEL OPALINA,MULTIPAPEL,,PESOS,"4,500.00",60,04/11/2025
2504085,OPALINA TELADA: CREMA & BCA. 70 X 100 CM 240 GR,905742,PAPELERA,PAPEL OPALINA,MULTIPAPEL,,PESOS,"5,000.00",60,04/11/2025
2504089,PAPEL FOTOG. GLOSSY (BRILLANTE) A4 160 GR 100 HJS,905746,PAPELERA,PAPEL FOTOGRAFICO,MULTIPAPEL,,PESOS,"15,000.00",60,04/11/2025
2504090,PAPEL FOTOG. GLOSSY (BRILLANTE) A4 160 GR 20 HJS,905747,PAPELERA,PAPEL FOTOGRAFICO,MULTIPAPEL,,PESOS,"3,500.00",60,04/11/2025
2504091,PAPEL FOTOG. GLOSSY (BRILLANTE) A4 160 GR X HOJA,905748,PAPELERA,PAPEL FOTOGRAFICO,MULTIPAPEL,,PESOS,200.00,60,04/11/2025
2504092,PAPEL FOTOG. GLOSSY (BRILLANTE) A4 180 GR 100 HJS,905749,PAPELERA,PAPEL FOTOGRAFICO,MULTIPAPEL,,PESOS,"16,000.00",60,04/11/2025
2504093,PAPEL FOTOG. GLOSSY (BRILLANTE) A4 180 GR 20 HJS,905750,PAPELERA,PAPEL FOTOGRAFICO,MULTIPAPEL,,PESOS,"3,800.00",60,04/11/2025
2504094,PAPEL FOTOG. GLOSSY (BRILLANTE) A4 180 GR X HOJA,905751,PAPELERA,PAPEL FOTOGRAFICO,MULTIPAPEL,,PESOS,210.00,60,04/11/2025
2504086,PAPEL FOTOGRAFICO AUTOADHESIVO PS A4 135 GR 100 HJS,905743,PAPELERA,PAPEL FOTOGRAFICO,PAPELERA CUMBRE,PS,PESOS,"14,437.50",60,04/11/2025
2504087,PAPEL FOTOGRAFICO AUTOADHESIVO PS A4 135 GR X HOJA,905744,PAPELERA,PAPEL FOTOGRAFICO,PAPELERA CUMBRE,PS,PESOS,168.75,120,07/11/2025
P455654,PAPEL FOTOGRAFICO GLOSSY PS A4 130 GR 100 HJS,909368,PAPELERA,PAPEL FOTOGRAFICO,PAPELERA CUMBRE,PS,PESOS,"7,000.00",60,04/11/2025
2504095,PAPEL FOTOGRAFICO GLOSSY PS A4 130 GR X HOJA,905752,PAPELERA,PAPEL FOTOGRAFICO,PAPELERA CUMBRE,PS,PESOS,93.75,120,07/11/2025
2504096,PAPEL FOTOGRAFICO GLOSSY PS A4 160 GR 100 HJS,905753,PAPELERA,PAPEL FOTOGRAFICO,PAPELERA CUMBRE,PS,PESOS,"8,600.00",60,04/11/2025
P455655,PAPEL FOTOGRAFICO GLOSSY PS A4 160 GR X HOJA,909369,PAPELERA,PAPEL FOTOGRAFICO,PAPELERA CUMBRE,PS,PESOS,105.00,120,07/11/2025
P455656,PAPEL FOTOGRAFICO GLOSSY PS A4 180 GR 100 HJS,909370,PAPELERA,PAPEL FOTOGRAFICO,PAPELERA CUMBRE,PS,PESOS,"9,500.00",60,04/11/2025
P124775,PAPEL FOTOGRAFICO GLOSSY PS A4 180 GR X HOJA,909356,PAPELERA,PAPEL FOTOGRAFICO,PAPELERA CUMBRE,PS,PESOS,125.00,120,07/11/2025
