Codigo,Producto,Cod Barra,Rubro,Sub Rubro,Proveedor,Marca,Moneda,Costo,Porc. Utilidad,,,
JUG200087,CASITA CON ACCESORIOS PRINCESS 52157,908556,JUGUETERIA,CASITA,,,PESOS,"2,000.00","120,00",,,
JUG420000,CASTILLO CON ACCESORIOS PRINCESS 50565 60260,908663,JUGUETERIA,CASTILLO,,,PESOS,"3,500.00","120,00",,,
JUG545000,CEBITAS EN BLISTER,908732,JUGUETERIA,ARMAS,FOB,,PESOS,"1,350.00","120,00",,,
JUG02067,CELULAR INFANTIL MOBILE PHONE,908502,JUGUETERIA,CELULAR,,,PESOS,720.00,"120,00",,,
JUG10542,CELULAR PERSONAJE EN BLISTER 833 - E03*24,908512,JUGUETERIA,CELULAR,,,PESOS,"2,100.00","120,00",,,
J0000000000230,CHIFLE ANIMALITO X5 SD17258,908421,JUGUETERIA,CHIFLE,,,PESOS,"6,600.00","120,00",,,
J0000000000226,CHIFLE SET X 4 PELOTAS SENSORIALES 5185,7798364131760,JUGUETERIA,CHIFLE,,,PESOS,"6,535.00","120,00",,,
JUG45478,CHIFLE FAMILIA RANA CON CRIA ART 12600,7798364130176,JUGUETERIA,CHIFLE,,,PESOS,"6,900.00","120,00",,,
J0000000000233,CHIFLE IRV AUTO 11480,7798364130237,JUGUETERIA,CHIFLE,,,PESOS,"2,507.00","120,00",,,
JUG154546,CHIFLE IRV HELICOPTERO 11120,7798364130091,JUGUETERIA,CHIFLE,,,PESOS,"2,507.00","120,00",,,
J0000000000229,CHIFLE VINYL TOYS PERSONAJE MARVEL,908420,JUGUETERIA,CHIFLE,,,PESOS,512.00,"120,00",,,
J0000000000232,CHIFLES IRV BALLENA 11720,7798364130220,JUGUETERIA,CHIFLES,,,PESOS,"2,507.00","120,00",,,
J0000000000231,CHIFLES CHANCHITO CERDITO RED X6,908422,JUGUETERIA,CHIFLES,,,PESOS,"2,800.00","120,00",,,
J0000000000075,COCHE PARAGUITA BOLSA DN881 - 53528 / 53100,908277,JUGUETERIA,MUÑECA,,,PESOS,"11,106.00","120,00",,,
J0000000000153,COCHE PASEO / CARRO COMPRAS DURAVIT,908354,JUGUETERIA,COCHE,REX,DURAVIT,PESOS,"5,600.00","120,00",,,
JUG154522,COLCHONETA INFLABLE BESTWAY 6942 - 44007 SUNCLUB 37496,908543,JUGUETERIA,VERANO,REX,BESTWAY,PESOS,"15,900.00","120,00",,AUMENTO UN 15% CON RESPECTO AL 2024,
JUG124545,CONO LANZA PELOTAS 13155 14*11,908535,JUGUETERIA,,,,PESOS,"2,016.00","120,00",,,
JU02365,SET BELLEZA SD12900 CORONA Y VARITA PRINCESA,7990500129000,JUGUETERIA,CORONA,,,PESOS,"2,900.00","120,00",,,
J0000000000010,CREAR PALABRAS – MAGIKA JK-4552,7798130320657,JUGUETERIA,JUEGOS DE MESA,,MAGIKA,PESOS,"4,700.00","120,00",,,
J0000000000132,CUATRICICLO 228 DURAVIT,908334,JUGUETERIA,VEHICULOS,REX,DURAVIT,PESOS,"5,084.00","120,00",,,
J0000000000116,CUATRICICLO MKK992238,908318,JUGUETERIA,VEHICULOS,,NTCA,PESOS,"2,160.00","120,00",,,
JUG000874,CUBO CHINO 2 X 2 JHD002,908499,JUGUETERIA,CUBO,,,PESOS,"2,200.00","120,00",,,
J0000000000044,CUBO CHINO 3 X 3 JHD003,908251,JUGUETERIA,CUBO,,DYM,PESOS,"2,500.00","120,00",,,
J0000000000147,CUBO DIDACTICO DURAVIT PRIMERA INFANCIA,908348,JUGUETERIA,DIDACTICOS,REX,DURAVIT,PESOS,"6,700.00","120,00",,,
J0000000000148,CUBO DIDACTICO ENCASTRE RK-J014,908349,JUGUETERIA,DIDACTICOS,,RECKOIMPORT,PESOS,"1,600.00","120,00",,,
JUG76546,CUBO MAGICO CHICO 61201 / 54333 51281 /40103,7450077050003,JUGUETERIA,CUBO,,,PESOS,520.00,"120,00",,,
JUG00087,CUBO MAGICO LING ZHI CUBE NA201124,7415485411242,JUGUETERIA,CUBO,,,PESOS,"3,249.00","120,00",,,
JUG73273,CUBO MAGICO MEDIANO HM40061,5022849867762,JUGUETERIA,CUBO,,,PESOS,"1,008.00","120,00",,,
JUG318674,CUBO MAGICO ENGRANAJE ANK185,9874563214584,JUGUETERIA,CUBO,,,PESOS,"3,862.00","120,00",,,
J0000000000143,CUBOS DIDACTICOS PARA APRENDER LOS COLORES,908344,JUGUETERIA,DIDACTICOS,,WEINMANN,PESOS,"1,600.00","120,00",,,
J0000000000079,CUBOS X2 ENCASTRE 60654 51215,7450077143439,JUGUETERIA,DIDACTICO,,HAPPY TIME,PESOS,"1,120.00","120,00",,,
JUG1300496,CUNERO BOLSA HM60409,908537,JUGUETERIA,JUGUETES BEBES,,,PESOS,"3,230.00","120,00",,,
J0000000000234,CUNERO OSITOS TOYS,908425,JUGUETERIA,BEBES,,,PESOS,"1,440.00","120,00",,,
J0000000000235,CUNERO PELOTAS MOZART TOYA BABY PUPEÉ,7798138270114,JUGUETERIA,BEBES,,,PESOS,"1,584.00","120,00",,,
351260,CUPCAKE MUSICAL CON LUZ Y SONIDO SD21214ZX 8462,7990500212146,JUGUETERIA,DIDACTICOS,,,PESOS,"11,902.00","120,00",,,
LI531,DADO ACRILICO COLOR X UNIDAD,908979,JUGUETERIA,DIDACTICOS,,,PESOS,45.00,"120,00",,,
DA4547852,DADOS X UNIDAD,908200,JUGUETERIA,JUEGOS DE MESA,,,PESOS,144.00,"120,00",,,
JUG6552,DEJA UNO YUYU ART. 619,7798114536197,JUGUETERIA,JUEGOS DE MESA,,,PESOS,"2,515.00","120,00",,,
J0000000000018,DELETREANDO – ART 252,908225,JUGUETERIA,DIDACTICOS,,IMPLAS,PESOS,"2,160.00","120,00",,,
