Codigo,Producto,Cod Barra,Rubro,Sub Rubro,Proveedor,Marca,Moneda,Costo,Porc. Utilidad
204356,PARLANTE GTC BLUETOOTH SPG-149,905448,REGALERIA,PARLANTE,,,PESOS,"23,230.00","120,00"
204135,PARLANTES GTC BLUETOOTH C/LINTERNA SPG-126,905398,REGALERIA,PARLANTE,,,PESOS,"8,900.00","120,00"
204137,PARLANTES GTC BLUETOOTH HOME THEARTRE SPG-129,905400,REGALERIA,PARLANTE,,,PESOS,"7,935.00","120,00"
204138,PARLANTES GTC BLUETOOTH KIDS SPG-132,905401,REGALERIA,PARLANTE,,,PESOS,"8,250.00","120,00"
204139,PARLANTES GTC BLUETOOTH SPG-125,905402,REGALERIA,PARLANTE,,,PESOS,"9,603.00","120,00"
204136,PARLANTES GTC BLUETOOTH SPG-131,905399,REGALERIA,PARLANTE,,,PESOS,"6,785.00","120,00"
204140,PARLANTES GTC BLUETOOTH SPG-137,905403,REGALERIA,PARLANTE,,,PESOS,"2,933.04","120,00"
204130,PARLANTES GTC SPG-123 VINTAGE BLUETOOTH,905393,REGALERIA,PARLANTE,,,PESOS,"13,305.60","120,00"
204131,PARLANTES GTC SPG-130 SUBWOOFER BLUETOOTH,905394,REGALERIA,PARLANTE,,,PESOS,"9,258.00","120,00"
204133,PARLANTES GTC USB SPG-133,905396,REGALERIA,PARLANTE,,,PESOS,"6,498.00","120,00"
204134,PARLANTES GTC USB SPG-138,905397,REGALERIA,PARLANTE,,,PESOS,"2,119.44","120,00"
26080000001,PELUCHE KUROMI NS371332,6600243713329,REGALERIA,PELUCHE,,,PESOS,"8,830.00","120,00"
REG54578,PELUCHE OSO CON CORAZON GRANDE 43151 - 43029,909598,REGALERIA,PELUCHE,,,PESOS,"3,300.00","120,00"
190500002471,PELUCHE STICH MUÑECO GRANDE,903220,REGALERIA,PELUCHE,,,PESOS,"34,000.00","120,00"
ACC855,PELUCHE STITCH MEDIANO 65CM,908101,REGALERIA,PELUCHE,,,PESOS,"42,430.00","120,00"
2124568728,PELUCHE UNICORNIO NS3713333,6600243713336,REGALERIA,PELUCHE,,,PESOS,"9,200.00","120,00"
124874351,PEN DRIVE,900451,REGALERIA,INFORMATICA,,,PESOS,1.00,"120,00"
REG8754,PEN DRIVE USB 16GB SANDISCK INOVA,909633,REGALERIA,INFORMATICA,,,PESOS,"7,950.00","120,00"
